z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
-21.81,20.44,20.716,20716.0,20792.86,356.512,153.512,90.0,133.12541039137005,0.6167319639875287
-21.83,20.46,21.229,21229.0,21305.86,356.92199999999997,153.72199999999998,91.0,136.27807340523805,0.6239919262418111
-21.85,20.48,21.955,21955.0,22032.28,357.33200000000005,153.93200000000002,95.0,140.80859080633005,0.6342793228906782
-21.87,20.5,22.806,22806.0,22882.86,357.742,154.142,100.0,146.13225467426142,0.646158438496896
-21.89,20.52,23.536,23536.0,23613.28,358.15200000000004,154.352,106.0,150.66295221312322,0.6560987560968095
-21.91,20.54,24.05,24050.0,24126.86,358.562,154.562,110.0,153.7784060765259,0.6628475499723595
-21.93,20.56,24.456,24456.0,24534.120000000003,358.972,154.772,111.0,156.19845966970772,0.6680428978306873
-21.95,20.58,24.537,24537.0,24614.7,359.382,154.98199999999997,116.0,156.50409725000324,0.6686961668586398
-21.97,20.6,24.482,24482.0,24559.7,359.792,155.19199999999998,123.0,155.9352801690809,0.6674798662968492
-21.99,20.62,24.272,24272.0,24349.699999999997,360.202,155.402,128.0,154.3705872511293,0.6641225946446275
-22.01,20.64,23.915,23915.0,23993.120000000003,360.612,155.61200000000002,130.0,151.86815926792278,0.6587177138044638
-22.03,20.66,23.514,23514.0,23592.120000000003,361.02200000000005,155.822,134.0,149.08740742642246,0.6526591922422834
-22.05,20.68,23.016,23016.0,23094.12,361.432,156.032,136.0,145.69247333880227,0.6451854071035976
-22.07,20.7,22.318,22318.0,22396.54,361.842,156.242,135.0,141.02928789954046,0.6347761988056229
-22.09,20.72,21.402,21402.0,21479.7,362.252,156.452,131.0,134.9771687162836,0.6210064842456123
-22.11,20.74,20.485,20485.0,20563.120000000003,362.662,156.66199999999998,124.0,128.9429344703885,0.6069665429009329
-22.130000000000003,20.76,19.623,19623.0,19701.12,363.07200000000006,156.872,117.0,123.27278290580854,0.5934711038959294
-22.15,20.78,18.885,18885.0,18963.539999999997,363.48199999999997,157.082,112.0,118.40986236487947,0.5816475672355935
-22.17,20.8,18.305,18305.0,18383.54,363.89200000000005,157.29200000000003,105.0,114.56175774991733,0.5721182638728698
-22.19,20.82,17.963,17963.0,18041.54,364.302,157.502,98.0,112.2350065395995,0.5662785950890238
-22.21,20.84,17.933,17933.0,18011.12,364.71200000000005,157.712,95.0,111.89007811707417,0.5654077621304422
-22.23,20.86,18.099,18099.0,18177.12,365.122,157.922,92.0,112.78984561998962,0.5676765820177885
-22.25,20.88,18.344,18344.0,18422.54,365.53200000000004,158.132,87.0,114.18946196848204,0.5711878899488629
-22.27,20.9,18.641,18641.0,18719.539999999997,365.942,158.34199999999998,85.0,115.91111644415253,0.5754777305959496
-22.290000000000003,20.92,19.018,19018.0,19096.54,366.3520000000001,158.55200000000002,82.0,118.13277662848782,0.5809666246339256
-22.31,20.94,19.289,19289.0,19367.54,366.762,158.762,77.0,119.68089341278142,0.5847609851476105
-22.33,20.96,19.501,19501.0,19579.12,367.17199999999997,158.97199999999998,71.0,120.8511435976147,0.5876129522972333
-22.35,20.98,19.576,19576.0,19654.54,367.58200000000005,159.18200000000002,66.0,121.16293299493661,0.5883704688008753
-22.37,21.0,19.488,19488.0,19566.120000000003,367.992,159.392,70.0,120.44599478016465,0.5866271504606766
-22.39,21.02,19.048,19048.0,19125.699999999997,368.40200000000004,159.602,75.0,117.52545707447271,0.5794713282059598
-22.41,21.04,18.345,18345.0,18421.44,368.812,159.812,75.0,112.96165494455983,0.5681087796856208
-22.43,21.06,17.642,17642.0,17717.18,369.222,160.022,74.0,108.40983114821712,0.5565450338554749
-22.45,21.08,17.389,17389.0,17465.86,369.632,160.23199999999997,67.0,106.69671476359281,0.5521301988366585
-22.47,21.1,17.136,17136.0,17214.12,370.042,160.44199999999998,67.0,104.98546515251617,0.547684646365344
-22.49,21.12,16.788,16788.0,16866.54,370.452,160.652,72.0,102.6821203595349,0.5416433205916309
-22.51,21.14,16.396,16396.0,16474.96,370.862,160.86200000000002,77.0,100.11126307020923,0.5348197642202444
-22.53,21.16,16.162,16161.999999999998,16241.38,371.27200000000005,161.072,77.0,98.5280371510877,0.5305739133942945
-22.55,21.18,16.012,16012.0,16090.96,371.682,161.282,76.0,97.46455277092296,0.5277027105995057
-22.57,21.2,16.012,16012.0,16091.8,372.092,161.492,77.0,97.3404750699725,0.5273667064359148
-22.59,21.22,16.117,16117.0,16196.8,372.502,161.702,80.0,97.86086752173752,0.5287745064141574
-22.61,21.24,16.047,16047.0,16127.220000000001,372.912,161.91199999999998,81.0,97.30167004298633,0.5272615779206651
-22.630000000000003,21.26,15.969,15969.0,16048.8,373.32200000000006,162.122,79.0,96.68939440668137,0.5256000500290294
-22.65,21.28,16.104,16104.0,16183.799999999997,373.73199999999997,162.332,77.0,97.39341596234875,0.5275100972963152
-22.67,21.3,16.265,16265.0,16345.220000000001,374.14200000000005,162.54200000000003,78.0,98.25816096762682,0.529846772911422
-22.69,21.32,16.436,16436.0,16516.22,374.552,162.752,80.0,99.1795369642155,0.5323251878429616
